Pays,Or,Argent,Bronze
"Afrique du Sud",1,3,2
Albanie,0,0,2
Algérie,2,0,1
Allemagne,12,13,8
Argentine,1,1,1
Arménie,0,3,1
Australie,18,19,16
Autriche,2,0,3
Azerbaïdjan,2,2,3
Bahrein,2,1,1
Belgique,3,1,6
Botswana,1,1,0
Brésil,3,7,10
Bulgarie,3,1,3
Canada,9,7,11
"Cap Vert",0,0,1
Chili,1,1,0
Chine,40,27,24
Chypre,0,1,0
Colombie,0,3,1
"Corée du Nord",0,2,4
"Corée du Sud",13,9,10
"Côte d'Ivoire",0,0,1
Croatie,2,2,3
Cuba,2,1,6
Danemark,2,2,5
Dominique,1,0,0
Egypte,1,1,1
Equateur,1,2,2
"Equipe olympique des réfugiés",0,0,1
Espagne,5,4,9
Etats-Unis,40,44,42
Ethiopie,1,3,0
Fidji,0,1,0
France,16,26,22
Géorgie,3,3,1
Grande-Bretagne,14,22,29
Grèce,1,1,6
Grenade,0,0,2
Guatemala,1,0,1
Hong-Kong,2,0,2
Hongrie,6,7,6
Inde,0,1,5
Indonésie,2,0,1
Iran,3,6,3
Irlande,4,0,3
Israël,1,5,1
Italie,12,13,15
Jamaïque,1,3,2
Japon,20,12,13
Jordanie,0,1,0
Kazakhstan,1,3,3
Kenya,4,2,5
Kirghizistan,0,2,4
Kosovo,0,1,1
Lituanie,0,2,2
Malaisie,0,0,2
Maroc,1,0,1
Mexique,0,3,2
Moldavie,0,1,3
Mongolie,0,1,0
Norvège,4,1,3
Nouvelle-Zélande,10,7,3
Ouganda,1,1,0
Ouzbékistan,8,2,3
Pakistan,1,0,0
Panama,0,1,0
Pays-Bas,15,7,12
Pérou,0,0,1
Philippines,2,0,2
Pologne,1,4,5
Porto-Rico,0,0,2
Portugal,1,2,1
Qatar,0,0,1
"Rép. Dominicaine",1,0,2
"Rép. Tchèque",3,0,2
Roumanie,3,4,2
Sainte-Lucie,1,1,0
Serbie,3,1,1
Singapour,0,0,1
Slovaquie,0,0,1
Slovénie,2,1,0
Suède,4,4,3
Suisse,1,2,5
Tadjikistan,0,0,3
Taiwan,2,0,5
Thaïlande,1,3,2
Tunisie,1,1,1
Turquie,0,3,5
Ukraine,3,5,4
Zambie,0,0,1
